symbol,r2,sum,sq_sum,res,cnt
300542.SZ,0.00657009,-268.897,3863.91,3826.44,5945
002130.SZ,0.140618,-143.445,13531.7,11627.7,14237
300293.SZ,0.171172,2008.05,29554.8,24345.2,22176
000038.SZ,0.038478,267.811,6194.79,5951,12704
002938.SZ,0.168387,92.7057,12612,10488,19833
300110.SZ,0.214473,-554.165,10799.5,8463.43,12123
300469.SZ,0.160612,221.749,8210.94,6887.24,8374
002434.SZ,0.231121,-404.863,11149.4,8562.12,12064
300130.SZ,0.181245,-722.475,5249.9,4254.23,9679
000976.SZ,0.282095,1402.54,38554.5,27591.3,16206
300719.SZ,0.193908,-718.699,31976.7,25745.3,13509
002388.SZ,0.0990394,-343.475,3055.04,2735.78,6371
300457.SZ,0.111519,20.1432,6021.01,5349.52,11562
000739.SZ,0.307114,16.4536,34180.6,23683.3,16852
300338.SZ,0.101833,200.428,9166.42,8225.38,4754
000963.SZ,0.145233,155.792,11264.1,9627.38,25473
002390.SZ,0.205584,-673.914,10177.1,8052.02,11000
000566.SZ,0.0804956,-458.949,38596.1,35479.2,19153
300786.SZ,0.130521,104.899,1262.01,1094.69,3679
002254.SZ,0.273046,960.32,16989.7,12301.7,13671
002278.SZ,0.0757666,-100.265,32976.2,30476.6,7933
002990.SZ,0.150101,546.998,16799.4,14254.7,11012
002309.SZ,0.136729,-61.3294,6143.75,5303.25,6802
002788.SZ,0.0324124,-67.3339,6674.38,6457.58,9413
002882.SZ,-0.347787,-229.523,2018.79,2706.14,4810
002864.SZ,0.0153717,-76.7562,1823.02,1794.02,5910
000883.SZ,0.10553,-167.99,2196.94,1961.45,6919
300088.SZ,0.171886,-226,19263.9,15951.4,33369
002891.SZ,0.245514,-768.114,25048.2,18863.4,12672
002106.SZ,0.185123,-2019.77,34385,27898.2,27408
300267.SZ,0.135837,-163.477,5531.18,4776.82,7658
002137.SZ,0.140325,413.043,7803.76,6697.57,13182
000034.SZ,0.146194,-268.839,6560.29,5597.25,15552
300263.SZ,0.212987,484.513,24864.4,19559,19240
002492.SZ,0.113538,-176.059,4795.08,4247.29,8157
300465.SZ,0.0821354,151.681,6889.21,6321.84,13861
000731.SZ,0.0519244,207.052,7545.13,7149.54,10650
002183.SZ,0.197477,229.785,19208.1,15411.7,13123
300213.SZ,0.15146,900.375,14603.8,12325,10276
300468.SZ,0.0960065,6.24013,6102.97,5517.04,14090
002726.SZ,0.178531,-4551.09,86107.1,70257.9,35707
300148.SZ,0.177852,-5483.64,103641,84211.7,24813
002687.SZ,0.0930181,477.921,4216.91,3779.5,4587
002487.SZ,0.214154,12.5224,6715.09,5277.01,8304
000011.SZ,0.086508,1464.97,69859.9,63749.3,29184
300547.SZ,0.249555,649.569,5691.31,4215.07,5660
002685.SZ,0.0187776,-1614.05,70009.3,68485.9,12242
300402.SZ,-0.00111717,33951.8,9.62845e+07,9.62727e+07,9661
002902.SZ,0.179137,351.516,24540.7,20137.2,13728
002965.SZ,-0.00980082,-293.28,3695.57,3724.45,11827
002753.SZ,-0.0348953,1303.53,14876.9,15238.1,11132
300511.SZ,0.178085,2133.42,37982.4,30995.9,16816
000798.SZ,0.0159884,915.547,56422.5,55460.4,13743
300070.SZ,0.175667,56.2374,14358.7,11836.2,18830
000014.SZ,0.0435263,357.917,8324.58,7947.72,8440
002358.SZ,0.230582,78.6017,8052.79,6195.54,11248
300745.SZ,0.14874,888.628,7298.07,6117.17,7047
002966.SZ,-0.0340958,-35.9838,2487.6,2572.3,11623
